区,朝向,配备电梯,所在楼层,链家编号,房屋户型,房屋价格（单位：万元）,装修类型,建筑面积,建筑时间
郫都,东南,有,高楼层 (共29层),106105010494,3室2厅,144,简装,93㎡,2015年建
温江,东南,有,中楼层 (共11层),106105011298,2室1厅,103,毛坯,87.88㎡,2007年建
都江堰,东南,暂无数据,高楼层 (共5层),106104992618,3室1厅,46.8,简装,105.7㎡,未知年建
天府新区,西,有,低楼层 (共18层),106105010554,3室1厅,180,精装,119.69㎡,2009年建
双流,北,有,中楼层 (共13层),106105208869,2室1厅,88,精装,57.19㎡,未知年建
郫都,西北,有,低楼层 (共18层),106105208358,2室1厅,75,简装,78.21㎡,2012年建
双流,北,有,高楼层 (共18层),106105207165,2室2厅,110,精装,86.48㎡,2008年建
青羊,西,有,低楼层 (共26层),106105204465,1室0厅,112,精装,39.27㎡,2004年建
锦江,东南,有,中楼层 (共34层),106105198839,2室1厅,116,精装,71.17㎡,2013年建
金牛,东南 南,有,低楼层 (共29层),106103364801,3室2厅,200,精装,113.81㎡,2012年建
锦江,北,有,高楼层 (共37层),106105198417,1室0厅,140,简装,37.92㎡,2010年建
成华,东南,无,中楼层 (共6层),106103336148,3室1厅,127,简装,95.36㎡,2006年建
天府新区,南,有,低楼层 (共16层),106105197639,2室2厅,137.6,精装,83.2㎡,2005年建
金牛,南,无,中楼层 (共7层),106103303883,2室2厅,110,简装,100.48㎡,2000年建
高新,东南,无,低楼层 (共6层),106105196898,1室1厅,55,精装,38.53㎡,1998年建
青羊,东南,有,高楼层 (共23层),106105196547,2室1厅,208,简装,82.35㎡,2012年建
青羊,南,无,低楼层 (共7层),106103245054,2室1厅,69,简装,48.8㎡,1998年建
成华,西,有,中楼层 (共33层),106105192124,2室1厅,108,简装,67.17㎡,2008年建
锦江,西北,有,高楼层 (共32层),106103085577,3室1厅,206,精装,88.17㎡,2015年建
金牛,东南,有,中楼层 (共26层),106105191122,2室2厅,125,精装,89.57㎡,2009年建
天府新区,西北,有,中楼层 (共34层),106102987280,3室2厅,160,毛坯,87.77㎡,未知年建
温江,西北,有,低楼层 (共33层),106105186251,2室1厅,119,精装,94.14㎡,2010年建
高新,北,有,中楼层 (共27层),106102912613,3室2厅,235,毛坯,106㎡,2018年建
青羊,东南,暂无数据,高楼层 (共7层),106105185233,2室1厅,86,简装,59.93㎡,1997年建
高新,南,有,中楼层 (共18层),106102873372,3室2厅,305,简装,125.74㎡,2011年建
青羊,南,有,低楼层 (共21层),106105184072,1室1厅,65,简装,43.39㎡,2010年建
郫都,东南,有,高楼层 (共26层),106102804736,3室2厅,125,简装,121.45㎡,2013年建
成华,西,有,高楼层 (共32层),106105175866,2室1厅,186,精装,90.17㎡,2009年建
高新西,东,有,中楼层 (共17层),106102689389,3室2厅,198,精装,121.48㎡,2007年建
郫都,东南,有,高楼层 (共23层),106105175457,2室1厅,90,精装,48.85㎡,2013年建
龙泉驿,东北,有,中楼层 (共33层),106102535685,3室2厅,125,毛坯,97.09㎡,2013年建
成华,西,无,中楼层 (共7层),106105171491,2室2厅,75,简装,70.41㎡,2003年建
温江,南,有,中楼层 (共18层),106102262658,3室2厅,142,毛坯,102.21㎡,2013年建
